speed,acc_norm,engine_speed,throttle_position,delta_acc_lat,cluster_id,driver,client
1,0.223606797749979,668,7.5,0.0,1,A,A
2,0.223606797749979,742,8.5,0.0,1,A,A
3,0.2,759,8.5,0.0,1,A,A
3,0.360555127546399,761,8.5,0.1,1,A,A
3,0.223606797749979,766,8.5,0.1,1,A,A
4,0.223606797749979,769,8.5,0.0,1,A,A
4,0.2,768,8.5,0.0,1,A,A
4,0.3,767,8.5,0.1,1,A,A
3,0.2,770,8.5,0.1,1,A,A
3,0.223606797749979,768,8.5,0.0,1,A,A
1,0.632455532033676,765,8.5,0.0,1,A,A
2,0.316227766016838,747,8.0,0.0,1,A,A
2,0.4,758,8.0,0.1,1,A,A
3,0.509901951359279,763,8.0,0.1,1,A,A
3,0.5,796,9.4,0.0,1,A,A
4,0.824621125123532,978,8.5,0.3,1,A,A
4,0.608276253029822,891,8.9,0.2,1,A,A
5,0.670820393249937,1029,7.5,0.0,1,A,A
4,0.509901951359279,854,8.0,0.1,1,A,A
5,0.447213595499958,975,8.5,0.1,1,A,A
5,0.632455532033676,999,8.9,0.2,1,A,A
5,0.6,1064,8.9,0.0,1,A,A
6,0.98488578017961,1277,11.3,0.3,1,A,A
8,0.806225774829855,1453,11.3,0.2,1,A,A
9,0.640312423743285,1643,11.3,0.2,1,A,A
10,0.5,1610,8.0,0.0,1,A,A
10,0.412310562561766,1112,8.5,0.1,1,A,A
11,0.5,1666,13.2,0.1,1,A,A
13,0.806225774829855,1786,15.0,0.1,1,A,A
15,0.806225774829855,1692,15.0,0.0,1,A,A
17,0.360555127546399,1717,11.3,0.1,1,A,A
17,0.412310562561766,1664,8.5,0.1,1,A,A
17,0.5,1466,7.5,0.1,1,A,A
16,0.282842712474619,1634,14.1,0.1,1,A,A
19,1.01980390271856,2011,20.7,0.0,2,A,A
21,0.412310562561766,2072,11.8,0.1,2,A,A
21,0.223606797749979,1450,8.0,0.0,1,A,A
21,0.282842712474619,1306,8.0,0.3,1,A,A
21,0.223606797749979,1262,8.0,0.1,1,A,A
20,0.360555127546399,1206,7.5,0.4,1,A,A
19,0.223606797749979,1138,7.5,0.4,1,A,A
19,1.2369316876853,1080,7.5,1.1,1,A,A
18,2.00997512422418,1169,9.4,0.8,1,A,A
18,2.70739727413618,1507,16.9,0.7,1,A,A
19,2.30867927612304,1766,58.7,0.5,3,A,A
20,1.34536240470737,1858,100.0,1.3,3,A,A
21,1.17046999107196,1898,100.0,0.5,3,A,A
22,1.11803398874989,1956,100.0,0.2,3,A,A
23,1.1,2010,100.0,0.2,3,A,A
25,1.10453610171873,2076,100.0,0.1,3,A,A
26,1.10453610171873,2129,100.0,0.0,3,A,A
28,1.10453610171873,2180,93.4,0.0,3,A,A
29,0.670820393249937,2028,16.0,0.2,2,A,A
28,0.1,1830,9.9,0.2,2,A,A
27,0.316227766016838,1797,11.3,0.4,2,A,A
26,0.316227766016838,1776,11.3,0.0,2,A,A
27,0.424264068711929,1824,14.6,0.6,2,A,A
28,1.06301458127347,2035,29.6,0.5,2,A,A
30,1.22065556157337,2212,75.1,0.1,3,A,A
30,0.53851648071345,1886,7.5,1.2,2,A,A
27,1.65529453572468,1464,14.1,1.0,1,A,A
23,2.76586333718787,1245,10.8,1.2,1,A,A
22,1.25299640861417,1803,24.9,1.6,1,A,A
23,1.01980390271856,1965,78.9,0.9,3,A,A
23,0.412310562561766,1645,12.7,0.3,2,A,A
23,0.9,1897,55.4,0.1,3,A,A
23,0.806225774829855,1813,35.7,0.1,2,A,A
21,0.3,1536,12.7,0.1,1,A,A
21,0.905538513813742,1842,49.3,0.1,2,A,A
21,1.36014705087354,1960,100.0,0.7,3,A,A
22,1.31529464379659,2045,100.0,0.6,3,A,A
24,1.2369316876853,2061,100.0,0.5,3,A,A
24,0.94339811320566,1882,37.6,0.2,2,A,A
23,0.223606797749979,1518,9.4,0.3,1,A,A
20,0.0,1334,8.9,0.2,1,A,A
17,0.14142135623731,1157,8.9,0.1,1,A,A
12,0.8,996,8.9,0.1,1,A,A
8,0.1,982,16.0,0.0,1,A,A
8,1.80277563773199,1730,86.9,0.1,3,A,A
12,2.23606797749979,2146,100.0,0.5,3,A,A
16,2.31948270094864,2682,100.0,0.1,3,A,A
21,2.31948270094864,3385,86.9,0.0,3,A,A
23,0.806225774829855,2474,11.8,0.2,2,A,A
20,0.223606797749979,1450,7.1,0.1,1,A,A
17,0.223606797749979,1159,8.0,0.3,1,A,A
12,1.50332963783729,978,8.9,0.0,1,A,A
6,0.3,886,8.5,0.1,1,A,A
4,0.509901951359279,958,10.4,0.1,1,A,A
5,1.10453610171873,1242,9.4,0.0,1,A,A
5,0.905538513813742,1132,13.2,0.0,1,A,A
7,1.61245154965971,1536,14.1,0.1,1,A,A
7,0.360555127546399,1233,8.0,0.0,1,A,A
5,0.1,997,7.1,0.2,1,A,A
3,0.721110255092798,809,8.9,0.4,1,A,A
3,1.61245154965971,1353,16.9,0.1,1,A,A
5,0.316227766016838,924,7.1,0.1,1,A,A
3,0.58309518948453,805,8.0,0.2,1,A,A
2,0.412310562561766,789,8.0,0.1,1,A,A
3,0.360555127546399,795,8.5,0.2,1,A,A
5,0.632455532033676,1138,9.4,0.4,1,A,A
7,0.5,1376,11.3,0.1,1,A,A
11,0.761577310586391,1891,16.0,0.0,1,A,A
16,1.14017542509914,2090,35.2,0.0,1,A,A
22,1.21655250605964,2333,97.2,0.5,3,A,A
28,0.905538513813742,2817,39.5,0.3,3,A,A
32,0.412310562561766,2018,7.5,0.3,2,A,A
34,0.5,1630,10.4,0.0,2,A,A
35,1.10453610171873,1713,9.4,0.3,1,A,A
34,1.60312195418814,1657,8.5,0.2,1,A,A
31,2.2,1367,5.7,0.1,1,A,A
28,2.41867732448956,1306,6.6,0.3,1,A,A
24,1.92353840616713,940,7.1,0.0,1,A,A
22,1.71172427686237,908,7.1,0.1,1,A,A
20,1.70293863659264,1178,8.0,0.1,1,A,A
18,2.10237960416286,1099,7.1,0.0,1,A,A
15,2.10237960416286,977,7.5,0.0,1,A,A
11,2.1,889,8.0,0.1,1,A,A
7,2.6,835,8.0,0.0,1,A,A
2,2.3,801,7.5,0.0,1,A,A
1,0.0,679,7.1,0.0,1,A,A
5,0.1,900,8.0,0.0,1,A,A
8,0.2,1016,6.6,0.0,1,A,A
12,0.223606797749979,1069,6.6,0.1,1,A,A
14,0.412310562561766,1134,7.5,0.0,1,A,A
16,0.707106781186547,1350,6.1,0.2,1,A,A
17,1.10453610171873,1151,6.6,0.0,1,A,A
17,0.921954445729289,1102,6.1,0.1,1,A,A
18,0.632455532033676,1320,8.0,0.0,1,A,A
20,0.223606797749979,1967,12.7,0.0,2,A,A
22,0.608276253029822,1894,20.7,0.1,2,A,A
25,0.7,1917,24.9,0.1,2,A,A
28,0.707106781186547,1948,24.9,0.1,2,A,A
31,0.412310562561766,1978,15.5,0.0,2,A,A
31,0.1,1672,9.4,0.0,2,A,A
30,0.412310562561766,1419,5.7,0.0,1,A,A
29,0.223606797749979,1420,8.5,0.0,1,A,A
29,0.0,1491,11.3,0.1,2,A,A
30,0.316227766016838,1685,16.0,0.1,2,A,A
31,0.447213595499958,1792,17.4,0.1,2,A,A
32,0.640312423743285,1726,18.3,0.2,2,A,A
34,0.412310562561766,1654,17.9,0.3,2,A,A
35,0.447213595499958,1667,15.5,0.1,2,A,A
34,0.1,1620,7.1,0.2,2,A,A
33,0.6,1460,5.7,0.0,1,A,A
30,0.608276253029822,1453,6.6,0.1,1,A,A
29,0.1,1592,15.0,0.1,2,A,A
30,0.5,1818,14.6,0.0,2,A,A
30,0.3,1392,6.6,0.0,1,A,A
27,1.14017542509914,1224,7.1,0.3,1,A,A
21,2.02237484161567,998,6.6,0.0,1,A,A
16,1.30384048104053,990,7.5,0.2,1,A,A
13,0.9,928,7.5,0.1,1,A,A
11,0.6,864,7.5,0.0,1,A,A
11,0.2,840,7.1,0.0,1,A,A
11,0.1,841,7.1,0.0,1,A,A
13,0.1,862,7.1,0.0,1,A,A
14,0.2,915,6.6,0.0,1,A,A
16,0.2,958,7.1,0.0,1,A,A
17,0.1,1168,7.5,0.0,1,A,A
19,0.3,1110,6.6,0.0,1,A,A
20,0.3,1116,7.1,0.0,1,A,A
21,0.3,1179,7.1,0.0,1,A,A
23,0.2,1455,7.5,0.0,1,A,A
24,0.2,1508,7.5,0.0,1,A,A
25,0.2,1595,7.5,0.0,1,A,A
26,0.4,1487,7.1,0.0,1,A,A
27,0.5,1475,7.1,0.0,1,A,A
28,0.412310562561766,1496,7.1,0.1,1,A,A
28,1.38924439894498,1472,7.1,1.1,1,A,A
28,1.99248588451713,1472,7.1,0.7,1,A,A
28,1.41421356237309,1727,9.9,0.5,1,A,A
28,1.43178210632764,1910,14.1,0.0,1,A,A
29,1.30384048104053,1884,9.4,0.0999999999999999,1,A,A
30,0.360555127546399,2022,16.5,1.1,2,A,A
31,0.223606797749979,1981,9.4,0.0,2,A,A
31,0.3,1598,10.8,0.1,2,A,A
32,0.14142135623731,1579,11.8,0.2,2,A,A
33,0.412310562561766,1619,18.3,0.0,2,A,A
36,0.608276253029822,1727,24.4,0.2,2,A,A
38,0.3,1824,15.0,0.1,2,A,A
38,0.424264068711929,1802,7.1,0.3,2,A,A
38,0.316227766016838,1832,12.2,0.0,2,A,A
39,0.14142135623731,1873,12.7,0.2,2,A,A
40,0.2,1903,9.9,0.1,2,A,A
39,0.58309518948453,1871,6.1,0.1,2,A,A
38,0.447213595499958,1847,8.5,0.1,2,A,A
38,0.412310562561766,1842,9.9,0.0,2,A,A
38,0.2,1856,11.3,0.2,2,A,A
39,0.14142135623731,1847,8.5,0.1,2,A,A
38,0.447213595499958,1774,7.1,0.1,2,A,A
38,0.447213595499958,1858,14.1,0.2,2,A,A
38,0.58309518948453,1823,6.6,0.1,2,A,A
37,0.707106781186547,1765,7.1,0.4,2,A,A
35,0.5,1692,7.5,0.1,2,A,A
35,0.14142135623731,1668,8.0,0.1,2,A,A
34,0.3,1611,7.1,0.1,2,A,A
34,0.5,1528,5.7,0.0,1,A,A
32,0.412310562561766,1565,8.0,0.1,1,A,A
32,0.2,1518,7.1,0.1,2,A,A
32,0.223606797749979,1527,8.9,0.1,2,A,A
32,0.3,1575,15.0,0.1,2,A,A
33,0.223606797749979,1574,7.1,0.2,2,A,A
32,0.53851648071345,1538,6.1,0.0,1,A,A
31,0.509901951359279,1466,6.6,0.1,1,A,A
29,0.6,1385,6.1,0.1,1,A,A
27,0.6,1259,5.7,0.0,1,A,A
26,0.412310562561766,977,6.6,0.1,1,A,A
25,0.806225774829855,978,6.6,0.0,1,A,A
21,1.50332963783729,939,6.1,0.0,1,A,A
17,1.60312195418814,1020,7.1,0.0,1,A,A
12,1.50332963783729,922,7.5,0.0,1,A,A
8,1.60312195418814,855,7.5,0.0,1,A,A
3,1.40356688476182,808,7.1,0.0,1,A,A
2,0.7,970,9.9,0.1,1,A,A
6,0.806225774829855,1246,9.9,0.1,1,A,A
8,0.316227766016838,1373,9.4,0.0,1,A,A
10,0.806225774829855,1712,14.1,0.0,1,A,A
13,0.824621125123532,2002,15.5,0.1,2,A,A
16,0.806225774829855,1759,15.0,0.1,1,A,A
17,0.1,1706,8.9,0.0,1,A,A
18,0.360555127546399,1850,12.7,0.1,2,A,A
19,0.360555127546399,1935,10.8,0.0,2,A,A
19,0.424264068711929,1388,7.5,0.1,1,A,A
17,0.806225774829855,1160,7.5,0.2,1,A,A
