round,total_counts,sum_squares,centroids
1,"[2781.0, 63046.0, 7289.0]",83891.6414556932,"[[0.47216830941513904, 0.1367596568355324, 0.17941545753158997, 0.08680618288533287, 0.21920173253056308], [0.26340927047104223, 0.11996954519436667, 0.15720864685495617, 0.13781149963198155, 0.03568241284740826], [0.6187543195527568, 0.08934136323628414, 0.2125699905142393, 0.28778583524672796, 0.059967075459815396]]"
2,"[9833.0, 48931.0, 14352.0]",4352.8246228114185,"[[0.48948271985713315, 0.1258549135388032, 0.18427155031287398, 0.09642763945964423, 0.10696973097532861], [0.19999064349865864, 0.12166596322653803, 0.14330134726175742, 0.10544625870458692, 0.03306561038097549], [0.5456574281238029, 0.0978518072148915, 0.21850146465856093, 0.3427939583357283, 0.04365709903426725]]"
3,"[24408.0, 41803.0, 6905.0]",3353.7410063084194,"[[0.4954888682977822, 0.09036144253127254, 0.18932640459118835, 0.11325327508248875, 0.056181035215240364], [0.1655180336545653, 0.12901555203588108, 0.1361241024866279, 0.098049324411779, 0.03612500007987021], [0.4948672717663741, 0.14429522629307034, 0.23870798817682515, 0.6031138170769225, 0.060091722766011484]]"
4,"[28484.0, 40004.0, 4628.0]",2406.9002790359714,"[[0.48988147946495736, 0.08701457399979762, 0.19145694643427952, 0.1250028058002677, 0.05080045088905881], [0.15776235699307115, 0.13256884167912347, 0.1340628103319166, 0.09640650719420985, 0.03801036676290088], [0.4678461062208755, 0.17574128787186508, 0.24702788917873802, 0.7801030508433725, 0.0710386077062827]]"
5,"[29633.0, 39418.0, 4065.0]",2206.182286930483,"[[0.4862948655741782, 0.08747634878506011, 0.19185858523862215, 0.12988654250226916, 0.05040889249095183], [0.1552084999850914, 0.13357707513094008, 0.13337782655600738, 0.0963442568145203, 0.03825748080258333], [0.46782700266886096, 0.18145386409687503, 0.2501650121304846, 0.8317138805487373, 0.0724559267186003]]"
6,"[30052.0, 39156.0, 3908.0]",2190.4201838604686,"[[0.484716239397672, 0.08777763919968608, 0.19192443279300242, 0.13156009289329024, 0.05034052237519214], [0.15409048374046608, 0.13389853291385878, 0.1330679964341086, 0.09619616191154814, 0.03829298305969973], [0.46822972418125547, 0.1827822877709463, 0.25118471729834774, 0.8462748019645296, 0.07269703389632531]]"
7,"[30194.0, 39057.0, 3865.0]",2189.0614074944338,"[[0.4841091749689547, 0.08790033655356087, 0.19192831865946444, 0.1319942343153804, 0.05039411953855761], [0.1536660175217789, 0.134020248664626, 0.13295025395762414, 0.09616099331879424, 0.03825178699143995], [0.46860933879951805, 0.18283211762493196, 0.2514959056777267, 0.8502843276958285, 0.07263475852518451]]"
8,"[30250.0, 39015.0, 3851.0]",2188.9392169373778,"[[0.4838556726179586, 0.08792652946719101, 0.19192212077147403, 0.1321174846502494, 0.050402205358851856], [0.15348969146019217, 0.13406537957770773, 0.1329038797644417, 0.09615619418548263, 0.03823401369873445], [0.4687267620899064, 0.18301725474060826, 0.2515877370876205, 0.8515852834844119, 0.07269973383804804]]"
9,"[30268.0, 38999.0, 3849.0]",2188.9262590103053,"[[0.4837719405647978, 0.08793803929204289, 0.1919175516470633, 0.13213046486745433, 0.05040196617325528], [0.1534240274209875, 0.1340811913700415, 0.13288417316040993, 0.09614941193843189, 0.03823260539423035], [0.46866937578968154, 0.1830077404731291, 0.25160900897247845, 0.8517762864952212, 0.07267688793713585]]"
10,"[30278.0, 38990.0, 3848.0]",2188.925324359145,"[[0.48371702547000756, 0.08794334282516549, 0.1919173906204159, 0.13214680330826067, 0.050398530687099936], [0.15338805621730178, 0.13408854633170636, 0.1328711148788382, 0.09613767417841694, 0.038232881365127515], [0.46868938688341755, 0.18302411462559398, 0.25162003002607963, 0.851869523578775, 0.07267844984443408]]"
