round,total_counts,sum_squares,centroids
1,"[69801.0, 196.0, 3119.0]",12758.701307348967,"[[0.29948283105168966, 0.11367433032326475, 0.1594385484285119, 0.11645891632360608, 0.04194495905868625], [0.19238946581620495, 0.4364092510069023, 0.16656275089431172, 0.2225255052302489, 0.6096938957213138], [0.4771374620974384, 0.18436024511746965, 0.2558951522402576, 0.9153507329869339, 0.07984396946300244]]"
2,"[68677.0, 658.0, 3781.0]",4047.1883445639096,"[[0.2981001800854813, 0.11156829884345845, 0.1587376345006595, 0.1121173439127271, 0.03978527621712246], [0.23416921180760697, 0.38335484690405924, 0.15659619665194996, 0.13282978426506542, 0.4537994056215402], [0.4769615870724336, 0.18003549317055376, 0.25260210946110356, 0.8569843765074294, 0.0701930727081555]]"
3,"[67659.0, 1476.0, 3981.0]",3969.1493293439676,"[[0.2983217465922561, 0.10860110302527468, 0.1586414479795508, 0.11106205873633021, 0.03745843236718102], [0.2382791452185531, 0.36307067137785465, 0.1530187630720902, 0.11930352036858875, 0.3278003711061587], [0.4758226824397981, 0.1786996754765491, 0.25128760982878084, 0.8382574542602202, 0.06985682197639421]]"
4,"[66049.0, 3027.0, 4040.0]",3900.649094749099,"[[0.30089467975541906, 0.10278869756281321, 0.15905394380857288, 0.11073165129715593, 0.03583904985509974], [0.2089169803926205, 0.35931528984485867, 0.145664185286186, 0.11546084974828752, 0.21308226601337876], [0.4762170215363218, 0.17782170319956936, 0.25085989465284486, 0.8327544368320323, 0.07034653674995532]]"
5,"[62759.0, 6309.0, 4048.0]",3771.2091728515393,"[[0.30985198958217836, 0.09283769189548272, 0.16055906157595776, 0.11079475206074366, 0.035641104330245824], [0.16719766286490959, 0.3249434430936298, 0.137484051052142, 0.11197558792352609, 0.12256565061211085], [0.476593404302922, 0.17753677383067198, 0.25094870907552197, 0.8319468687563168, 0.07071805217343816]]"
6,"[57016.0, 12056.0, 4044.0]",3566.093486149639,"[[0.332405102458581, 0.083936049832586, 0.16467094960742534, 0.11216609122096957, 0.03732636564166814], [0.12857222524128592, 0.2562349671900339, 0.12904288824640628, 0.10501600627911958, 0.07304247065725941], [0.4766629823277641, 0.17810859716000899, 0.25102212521156547, 0.8323956292679003, 0.07110122203325765]]"
7,"[44418.0, 24681.0, 4017.0]",3105.3814638684057,"[[0.40003698035445034, 0.08410570686952384, 0.17968442744782173, 0.1208062245049572, 0.043422337584179634], [0.1115254032207138, 0.16776005776419728, 0.12033770612901017, 0.09343040996952394, 0.04376511076772122], [0.47515561352911684, 0.178950578840972, 0.2510519229583678, 0.8353537279054366, 0.07155422999738953]]"
8,"[36475.0, 32699.0, 3942.0]",2398.028659067256,"[[0.44802881020682367, 0.08868860734282885, 0.1875280171954744, 0.12812123085799404, 0.04824948738722735], [0.12934188264405, 0.1420894009656703, 0.12628793222056725, 0.09269433108815348, 0.03832839038965218], [0.4715626831428691, 0.18113634541012874, 0.25118718289851644, 0.8430514778585128, 0.07182479496990456]]"
9,"[33068.0, 36159.0, 3889.0]",2226.3404764778293,"[[0.46776846115260745, 0.08897673308579344, 0.19003338094992747, 0.13061899429829155, 0.049715738750303023], [0.1419948542394994, 0.13668704105737686, 0.1299218778539906, 0.09431222997801965, 0.03788452964661265], [0.4699258837697074, 0.1826660893129756, 0.2514487979677455, 0.8480323801193113, 0.07263221267287963]]"
10,"[31520.0, 37733.0, 3863.0]",2196.5606215475445,"[[0.47661011368964046, 0.0885406879289432, 0.1911409977094432, 0.13160840441872845, 0.050067683387226176], [0.14825683862292852, 0.1350854632312985, 0.13152803579427558, 0.09524797709347105, 0.03809132703031495], [0.4693696853648577, 0.18305862826456037, 0.25162872778777085, 0.8504410889383517, 0.07271550825044572]]"
11,"[30832.0, 38432.0, 3852.0]",2190.4204668217917,"[[0.4805586438141662, 0.08825610477075618, 0.19156754186531907, 0.13194774614259014, 0.05028217586282226], [0.1510885105165711, 0.13448587198631562, 0.13228344794883012, 0.09573940772683312, 0.03814616405663326], [0.46907669459232676, 0.18314239204123575, 0.2516680881386947, 0.8514727224011233, 0.07268951410816454]]"
12,"[30538.0, 38732.0, 3846.0]",2189.2077436437958,"[[0.48225819530039077, 0.08810949027200775, 0.1917703075531429, 0.13210357291993777, 0.050337286194646835], [0.15232259219843303, 0.13427286201337263, 0.13259626330323337, 0.09594941952220011, 0.03820011129714935], [0.4688356112084849, 0.18299366697461109, 0.251625916680316, 0.8520673236485189, 0.07269024310930894]]"
13,"[30410.0, 38861.0, 3845.0]",2188.9794583226053,"[[0.48298396687542444, 0.08802947199051157, 0.19183611485127994, 0.13213307826987686, 0.0503584362262174], [0.152849480021677, 0.13418406280556375, 0.13274077531939116, 0.09605660988044804, 0.0382294170919085], [0.46883617529696425, 0.18299990655251164, 0.251645741367211, 0.8521508262065207, 0.07263979410241565]]"
14,"[30354.0, 38917.0, 3845.0]",2188.9365392031195,"[[0.4832993157992444, 0.088009890263816, 0.19186749861220084, 0.13214465672875045, 0.05035909750134494], [0.1530785683386125, 0.13413292131589274, 0.13280133282214812, 0.09609949164649266, 0.03824635449012266], [0.46883617529696425, 0.18299990655251164, 0.251645741367211, 0.8521508262065207, 0.07263979410241565]]"
15,"[30323.0, 38947.0, 3846.0]",2188.92845433998,"[[0.4834658212551155, 0.08796685250200718, 0.1918884593545805, 0.13214938859719844, 0.05037650338659418], [0.1532067162520072, 0.13412902134548843, 0.1328300169284071, 0.09611443542067699, 0.038242570100955296], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
16,"[30306.0, 38964.0, 3846.0]",2188.9258471781945,"[[0.4835615861867259, 0.08796188682490756, 0.19189893595602622, 0.13214858148497355, 0.05038826345201591], [0.1532763228829401, 0.1341127430614273, 0.13284763549010073, 0.09613078524479896, 0.038238717219402696], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
17,"[30297.0, 38973.0, 3846.0]",2188.9251007856265,"[[0.48361171394837155, 0.08795515422901559, 0.1919040021494895, 0.13215083706336156, 0.05038892889825879], [0.15331362682605856, 0.1341073193001467, 0.13285733377457554, 0.09613734935091704, 0.03824100559574717], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
18,"[30292.0, 38978.0, 3846.0]",2188.9249102213403,"[[0.48364009520927, 0.08795461169262703, 0.19190628063995707, 0.1321506308769171, 0.05039394489725229], [0.1533339399586071, 0.13410182065185602, 0.13286313738965663, 0.09614212930982557, 0.038238665685413176], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
19,"[30288.0, 38982.0, 3846.0]",2188.9248296460173,"[[0.4836615963642017, 0.08795734760202492, 0.19191335357763997, 0.13215609847238796, 0.0504006001990084], [0.15335112731791217, 0.13409495968885565, 0.1328637004042906, 0.09614157601534729, 0.03823474196003373], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
20,"[30286.0, 38984.0, 3846.0]",2188.924788851871,"[[0.48367179876217636, 0.08795290388192471, 0.19191555349559442, 0.13216046723022642, 0.05039842541622971], [0.15336014720076238, 0.13409604493620791, 0.13286502075600357, 0.09614002965902207, 0.03823705565764592], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
21,"[30285.0, 38985.0, 3846.0]",2188.92478062868,"[[0.4836773132120882, 0.08795316648396169, 0.19191589741364232, 0.13216235464871434, 0.05040008955443067], [0.1533643361589766, 0.13409465732446638, 0.13286626828645526, 0.09613948739837477, 0.03823607484308499], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
22,"[30285.0, 38985.0, 3846.0]",2188.9247786369233,"[[0.4836773132120882, 0.08795316648396169, 0.19191589741364232, 0.13216235464871434, 0.05040008955443067], [0.1533643361589766, 0.13409465732446638, 0.13286626828645526, 0.09613948739837477, 0.03823607484308499], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
23,"[30285.0, 38985.0, 3846.0]",2188.9247786369233,"[[0.4836773132120882, 0.08795316648396169, 0.19191589741364232, 0.13216235464871434, 0.05040008955443067], [0.1533643361589766, 0.13409465732446638, 0.13286626828645526, 0.09613948739837477, 0.03823607484308499], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
24,"[30285.0, 38985.0, 3846.0]",2188.9247786369233,"[[0.4836773132120882, 0.08795316648396169, 0.19191589741364232, 0.13216235464871434, 0.05040008955443067], [0.1533643361589766, 0.13409465732446638, 0.13286626828645526, 0.09613948739837477, 0.03823607484308499], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
25,"[30285.0, 38985.0, 3846.0]",2188.9247786369233,"[[0.4836773132120882, 0.08795316648396169, 0.19191589741364232, 0.13216235464871434, 0.05040008955443067], [0.1533643361589766, 0.13409465732446638, 0.13286626828645526, 0.09613948739837477, 0.03823607484308499], [0.4688052766601876, 0.1829942500914654, 0.2516351990513764, 0.8520561432015509, 0.07262957401407044]]"
